date,target
10/24/2022 21:10,114.84
10/24/2022 21:15,106.993
10/24/2022 21:20,108.627
10/24/2022 21:25,119.772
10/24/2022 21:30,115.006
10/24/2022 21:35,105.107
10/24/2022 21:40,119.715
10/24/2022 21:50,110.269
10/24/2022 21:55,107.443
10/24/2022 22:00,115.18
10/24/2022 22:05,114.419
10/24/2022 22:10,113.96
10/24/2022 22:15,105.962
10/24/2022 22:20,110.028
10/24/2022 22:25,118.571
10/24/2022 22:30,116.672
10/24/2022 22:35,106.981
10/24/2022 22:40,108.986
10/24/2022 22:45,107.482
10/24/2022 22:50,107.974
10/24/2022 22:55,108.577
10/24/2022 23:00,106.96
10/24/2022 23:05,125.131
10/24/2022 23:10,104.965
10/24/2022 23:15,131.007
10/24/2022 23:20,120.592
10/24/2022 23:25,104.926
10/24/2022 23:30,113.967
10/24/2022 23:35,129.019
10/24/2022 23:40,114.63
10/24/2022 23:45,104.83
10/24/2022 23:50,116.421
10/24/2022 23:55,108.148
10/25/2022 0:00,103.13
10/25/2022 0:10,116.361
10/25/2022 0:15,112.306
10/25/2022 0:20,117.038
10/25/2022 0:25,113.671
10/25/2022 0:25,101.634
10/25/2022 0:30,116.398
10/25/2022 0:35,109.685
10/25/2022 0:40,112.784
10/25/2022 0:45,103.025
10/25/2022 0:50,147.568
10/25/2022 0:55,111.547
10/25/2022 1:00,106.878
10/25/2022 1:05,108.469
10/25/2022 1:10,108.311
10/25/2022 1:15,103.878
10/25/2022 1:25,112.043
10/25/2022 1:30,121.426
10/25/2022 1:35,110.058
10/25/2022 1:40,110.796
10/25/2022 1:45,118.116
10/25/2022 1:50,115.132
10/25/2022 1:55,104.447
10/25/2022 2:00,106.461
10/25/2022 2:05,105.816
10/25/2022 2:10,106.213
10/25/2022 2:15,106.058
10/25/2022 2:20,114.493
10/25/2022 2:25,113.628
10/25/2022 2:30,105.556
10/25/2022 2:35,116.537
10/25/2022 2:40,114.41
10/25/2022 2:45,116.727
10/25/2022 2:50,110.721
10/25/2022 2:55,118.685
10/25/2022 3:00,112.347
10/25/2022 3:05,107.109
10/25/2022 3:10,108.889
10/25/2022 3:15,103.179
10/25/2022 3:20,107.452
10/25/2022 3:25,103.07
10/25/2022 3:30,118.448
10/25/2022 3:35,111.905
10/25/2022 3:40,121.652
10/25/2022 3:45,111.915
10/25/2022 3:50,119.444
10/25/2022 3:55,118.715
10/25/2022 4:00,112.011
10/25/2022 4:05,122.605
10/25/2022 4:10,118.391
10/25/2022 4:15,129.216
10/25/2022 4:20,136.976
10/25/2022 4:25,120.148
10/25/2022 4:30,108.959
10/25/2022 4:35,112.608
10/25/2022 4:40,119.995
10/25/2022 4:45,127.306
10/25/2022 4:50,119.919
10/25/2022 4:55,127.367
10/25/2022 5:00,124.998
10/25/2022 5:05,110.01
10/25/2022 5:10,118.612
10/25/2022 5:15,112.219
10/25/2022 5:20,119.203
10/25/2022 5:25,111.626
10/25/2022 5:30,103.636
10/25/2022 5:35,132.707
10/25/2022 5:40,108.887
10/25/2022 5:45,110.886
10/25/2022 5:50,103.495
10/25/2022 5:55,108.302
10/25/2022 6:00,129.027
10/25/2022 6:05,108.71
10/25/2022 6:10,116.159
10/25/2022 6:15,111.995
10/25/2022 6:20,117.174
10/25/2022 6:25,116.469
10/25/2022 6:30,106.378
10/25/2022 6:35,116.389
10/25/2022 6:40,111.944
10/25/2022 6:45,112.65
10/25/2022 6:50,112.642
10/25/2022 6:55,106.402
10/25/2022 7:00,109.864
10/25/2022 7:05,107.567
10/25/2022 7:10,112.509
10/25/2022 7:15,110.448
10/25/2022 7:20,111.431
10/25/2022 7:25,104.836
10/25/2022 7:30,113.38
10/25/2022 7:35,101.833
10/25/2022 7:40,115.252
10/25/2022 7:45,122.364
10/25/2022 7:50,103.993
10/25/2022 7:55,112.638
10/25/2022 8:00,110.357
10/25/2022 8:05,109.525
10/25/2022 8:10,108.196
10/25/2022 8:15,108.439
10/25/2022 8:20,105.129
10/25/2022 8:25,108.749
10/25/2022 8:30,112.586
10/25/2022 8:35,105.159
10/25/2022 8:40,109.195
10/25/2022 8:45,108.851
10/25/2022 8:50,113.704
10/25/2022 8:55,105.521
10/25/2022 9:00,102.586
10/25/2022 9:05,109.842
10/25/2022 9:10,115.432
10/25/2022 9:15,113.902
10/25/2022 9:20,112.394
10/25/2022 9:25,109.775
10/25/2022 9:30,104.854
10/25/2022 9:35,111.782
10/25/2022 9:40,116.882
10/25/2022 9:45,113.418
10/25/2022 9:50,115.718
10/25/2022 9:55,118.771
10/25/2022 10:00,117.125
10/25/2022 10:05,109.086
10/25/2022 10:10,105.518
10/25/2022 10:15,120.967
10/25/2022 10:20,105.377
10/25/2022 10:25,106.796
10/25/2022 10:30,105.13
10/25/2022 10:35,133.237
10/25/2022 10:40,117.315
10/25/2022 10:45,129.257
10/25/2022 10:50,107.32
10/25/2022 10:55,119.958
10/25/2022 11:00,106.264
10/25/2022 11:05,107.964
